zone:,fake posix,start,end,TimeDefinition,UT,wall,offset:,match,alias,match,alias,bool,
Europe/Rome,STD-1DST-2,M3.5.0/2,M10.5.0/3,0,2025-10-26T01:00:00Z,2025/10/26 2:00:00 +01:00,1,2025-10-26T01:00:00Z,TRUE,2025-03-30T01:00:00Z,FALSE,TRUE,
Europe/San_Marino,STD-1DST-2,M3.5.0/2,M10.5.0/3,0,2025-03-30T01:00:00Z,2025/03/30 3:00:00 +02:00,2,2025-10-26T01:00:00Z,FALSE,2025-03-30T01:00:00Z,TRUE,TRUE,
Europe/San_Marino,STD-1DST-2,M3.5.0/2,M10.5.0/3,0,2025-10-26T01:00:00Z,2025/10/26 2:00:00 +01:00,1,2025-10-26T01:00:00Z,TRUE,2025-03-30T01:00:00Z,FALSE,TRUE,
Europe/Sarajevo,STD-1DST-2,M3.5.0/2,M10.5.0/3,0,2025-03-30T01:00:00Z,2025/03/30 3:00:00 +02:00,2,2025-10-26T01:00:00Z,FALSE,2025-03-30T01:00:00Z,TRUE,TRUE,
Europe/Sarajevo,STD-1DST-2,M3.5.0/2,M10.5.0/3,0,2025-10-26T01:00:00Z,2025/10/26 2:00:00 +01:00,1,2025-10-26T01:00:00Z,TRUE,2025-03-30T01:00:00Z,FALSE,TRUE,
Europe/Skopje,STD-1DST-2,M3.5.0/2,M10.5.0/3,0,2025-03-30T01:00:00Z,2025/03/30 3:00:00 +02:00,2,2025-10-26T01:00:00Z,FALSE,2025-03-30T01:00:00Z,TRUE,TRUE,
Europe/Skopje,STD-1DST-2,M3.5.0/2,M10.5.0/3,0,2025-10-26T01:00:00Z,2025/10/26 2:00:00 +01:00,1,2025-10-26T01:00:00Z,TRUE,2025-03-30T01:00:00Z,FALSE,TRUE,
Europe/Sofia,STD-2DST-3,M3.5.0/3,M10.5.0/4,0,2025-03-30T01:00:00Z,2025/03/30 4:00:00 +03:00,3,2025-10-26T01:00:00Z,FALSE,2025-03-30T01:00:00Z,TRUE,TRUE,
Europe/Sofia,STD-2DST-3,M3.5.0/3,M10.5.0/4,0,2025-10-26T01:00:00Z,2025/10/26 3:00:00 +02:00,2,2025-10-26T01:00:00Z,TRUE,2025-03-30T01:00:00Z,FALSE,TRUE,
Europe/Stockholm,STD-1DST-2,M3.5.0/2,M10.5.0/3,0,2025-03-30T01:00:00Z,2025/03/30 3:00:00 +02:00,2,2025-10-26T01:00:00Z,FALSE,2025-03-30T01:00:00Z,TRUE,TRUE,
Europe/Stockholm,STD-1DST-2,M3.5.0/2,M10.5.0/3,0,2025-10-26T01:00:00Z,2025/10/26 2:00:00 +01:00,1,2025-10-26T01:00:00Z,TRUE,2025-03-30T01:00:00Z,FALSE,TRUE,
